gene_name,p_value
DCAF4L2,0.006023604
CDC42BPB,0.006023604
CDON,0.006023604
TRIM62,0.006094782
GALNT2,0.006094782
GTSF1L,0.006094782
ARHGAP40,0.006094782
FAM46D,0.006094782
CELA3B,0.006094782
TMCC1,0.006094782
SERPINB5,0.006094782
CHRNA7,0.006094782
HOXB8,0.006094782
TLK2,0.006094782
DNPEP,0.006094782
RLN2,0.006094782
SNRNP70,0.006094782
RHO,0.006094782
SPDYE3,0.006094782
MTNR1B,0.006094782
CEACAM4,0.006094782
TMCC3,0.006094782
KLF15,0.006094782
LCE1D,0.006094782
CHKA,0.006094782
PEG3,0.006130942
NLRP9,0.007080166
CSMD1,0.007398547
IQCA1,0.00744406
PARD3,0.00744406
BZRAP1,0.007511706
CARD11,0.007511706
ZFC3H1,0.007511706
USP35,0.007958897
WDR63,0.007958897
PPL,0.007958897
CNST,0.007958897
ZNF341,0.007958897
APBA1,0.007958897
PRSS3,0.007958897
CALR3,0.007958897
CSMD3,0.008159903
PCDHA8,0.008186242
MGAM2,0.008186242
DUSP27,0.008186242
PLG,0.008186242
PLEKHM2,0.008484764
COL4A3,0.008529404
ACAN,0.009271401
COL6A5,0.009704428
INADL,0.009847341
UTRN,0.009847341
CLSTN2,0.009847341
CSMD2,0.010096959
DLG1,0.01041026
MAP7D1,0.01041026
WIZ,0.01041026
MTO1,0.01041026
BTNL2,0.01041026
ZNF806,0.01041026
HAO1,0.01041026
PKP1,0.01041026
ZFP28,0.01041026
SMOC1,0.01041026
IQSEC1,0.01041026
SLC30A3,0.01041026
ITGA2,0.01041026
ATP8A2,0.01041026
OR6C6,0.01041026
GRAMD1A,0.01041026
CPVL,0.01041026
TSC1,0.010607202
LIMCH1,0.010607202
AK9,0.010607202
CDC42BPA,0.010607202
ZNF729,0.010935582
SLC26A5,0.011036706
OR13C5,0.011036706
MASP1,0.011036706
DCX,0.011036706
STAT4,0.011036706
PSG5,0.011036706
PPP1R3A,0.011256461
UNC80,0.011786068
DDX60,0.011786068
A1CF,0.011786068
EXPH5,0.012260293
CLGN,0.012993325
KCNC1,0.013399874
COLGALT2,0.013399874
ITIH4,0.013399874
ZNF408,0.013399874
BAIAP2L1,0.013399874
KCNH3,0.013399874
ATG7,0.013399874
NRD1,0.013399874
KLHDC8A,0.013399874
PLA2G3,0.013399874
BEND2,0.013399874
SIX4,0.013399874
ZNF671,0.013399874
SLC12A7,0.013399874
UNC93A,0.013399874
ORM1,0.013399874
HLF,0.013399874
PDCL2,0.013399874
MUC3A,0.013486909
OR2M2,0.013486909
CHGB,0.013486909
DST,0.014003548
FAM83B,0.014268968
SPHKAP,0.014353979
ABLIM1,0.014423342
OR2T4,0.014423342
ZNF142,0.014423342
DCAF12L2,0.014423342
CNKSR1,0.014423342
CDK12,0.014423342
INPPL1,0.014423342
SLC14A1,0.014423342
GAREM,0.014423342
GJD2,0.014423342
IL36B,0.014423342
EXD3,0.014423342
PKD1L3,0.014423342
SASH1,0.014423342
PCDHB5,0.014758956
ROBO2,0.015119172
C1orf127,0.015149384
TICRR,0.015149384
GRM6,0.015149384
ATP1A4,0.015149384
MEGF6,0.015149384
OR1A1,0.015149384
DGKG,0.015217284
ZNF318,0.015217284
PDE1A,0.015217284
RALGAPA1,0.015217284
AUTS2,0.015217284
KCNT1,0.015217284
CRB1,0.015933914
KMT2D,0.016108734
MUC17,0.01614192
AARS2,0.016745157
PCDHGA10,0.016745157
TNRC6C,0.016745157
LRRTM4,0.016745157
OR4L1,0.016745157
DOK6,0.016745157
OR4C46,0.016745157
MSH3,0.016745157
GRIPAP1,0.016751752
GDAP1L1,0.016751752
CDS1,0.016751752
ZNF10,0.016751752
MDH1B,0.016751752
IRF9,0.016751752
CCKBR,0.016751752
LOC441155,0.016751752
AMOTL2,0.016751752
DDX41,0.016751752
FIGN,0.016751752
ANKRD13C,0.016751752
CNOT6L,0.016751752
ANGPTL4,0.016751752
FAM189A1,0.016751752
FAM160B1,0.016751752
HCAR2,0.016751752
ASB9,0.016751752
NOV,0.016751752
KLHL29,0.016751752
ABAT,0.016751752
TRIP6,0.016751752
KRT33B,0.016751752
EPC1,0.016751752
VWA1,0.016751752
DBF4,0.016751752
MELK,0.016751752
EYA3,0.016751752
RSG1,0.016751752
CPA4,0.016751752
MESP2,0.016751752
PNLIPRP3,0.016751752
OR7C2,0.016751752
PIH1D2,0.016751752
MOGAT3,0.016751752
CKAP2,0.016751752
TRIM2,0.016751752
ULBP2,0.016751752
SORCS3,0.01700809
KPRP,0.01708244
ZNF534,0.01708244
ENAM,0.01708244
KEL,0.017481658
SNAP91,0.017481658
WNK2,0.017481658
TENM2,0.017770916
NR2E1,0.018892723
TRIM7,0.018892723
UBFD1,0.018892723
C11orf58,0.018892723
TTC9B,0.018892723
ARHGEF39,0.018892723
PTGDR2,0.018892723
MAGIX,0.018892723
SPDYE5,0.018892723
TMEM247,0.018892723
GUF1,0.018892723
SP9,0.018892723
CHSY1,0.018892723
PDX1,0.018892723
PPM1A,0.018892723
C8orf31,0.018892723
DENND6A,0.018892723
SLC35G4,0.018892723
NCR3LG1,0.018892723
C3orf33,0.018892723
KRTAP23-1,0.018892723
API5,0.018892723
C2orf73,0.018892723
ARL10,0.018892723
GPS1,0.018892723
ADRB1,0.018892723
SS18,0.018892723
OR56A5,0.018892723
FAM150A,0.018892723
NUP93,0.018892723
ANXA2,0.018892723
NKAIN1,0.018892723
ISG20L2,0.018892723
C6orf141,0.018892723
RFPL4B,0.018892723
CNN2,0.018892723
ABHD8,0.018892723
CCL24,0.018892723
SCARB2,0.018892723
NKX2-3,0.018892723
SAV1,0.018892723
C17orf67,0.018892723
TAS2R50,0.018892723
ZMAT1,0.018892723
LYPD6,0.018892723
ZNF704,0.018892723
RPL19,0.018892723
CCDC58,0.018892723
COQ3,0.018892723
ULBP3,0.018892723
BHLHB9,0.018892723
C2orf66,0.018892723
SPCS1,0.018892723
PRRX1,0.018892723
DCTD,0.018892723
CLK4,0.018892723
DLX2,0.018892723
GSTA4,0.018892723
STARD3,0.018892723
VSIG2,0.018892723
MNS1,0.018892723
C20orf202,0.018892723
STX11,0.018892723
KRTAP9-8,0.018892723
LETMD1,0.018892723
FOXD4L6,0.018892723
CYP17A1,0.018892723
PIEZO2,0.0192457
MYH3,0.0192457
CHL1,0.0192457
MTOR,0.0192457
TLR3,0.0192457
KRAS,0.0192457
BAZ1B,0.019462931
SH3BP2,0.019462931
GRB14,0.019462931
SLC1A3,0.019462931
TSPAN2,0.019462931
VN1R2,0.019462931
CPXCR1,0.019462931
WDR70,0.019462931
CCDC38,0.019462931
MARK3,0.019462931
ESF1,0.019462931
INTS4,0.019462931
SLC7A4,0.019462931
SLC35F4,0.019462931
DTNA,0.019462931
HELB,0.019462931
CEP250,0.019462931
TYK2,0.019462931
ZNF273,0.019462931
DPY19L2,0.019462931
AKR1C4,0.019462931
TBC1D4,0.019462931
TUBA3C,0.019462931
LRPAP1,0.01964009
KLHL23,0.01964009
C7orf72,0.01964009
ALG8,0.01964009
GNE,0.01964009
ING3,0.01964009
PPP1R21,0.01964009
CWC25,0.01964009
NUP35,0.01964009
LACTBL1,0.01964009
KRT33A,0.01964009
SSTR5,0.01964009
MRGPRF,0.01964009
EIF2D,0.01964009
COL4A3BP,0.01964009
FKTN,0.01964009
C9orf47,0.01964009
NUDC,0.01964009
CORO1C,0.01964009
FBXO28,0.01964009
KRTAP17-1,0.01964009
UTY,0.01964009
GREM2,0.01964009
ZNF491,0.01964009
SRSF6,0.01964009
CASP3,0.01964009
MCM9,0.01964009
FOXC2,0.01964009
UFL1,0.01964009
SULT6B1,0.01964009
CTCF,0.01964009
MEI4,0.01964009
GFI1B,0.01964009
CPEB4,0.01964009
GDPD2,0.01964009
NADK2,0.01964009
CYP2W1,0.01964009
SRPX,0.01964009
HPS4,0.01964009
ZDHHC13,0.01964009
DLX3,0.01964009
AP5B1,0.01964009
RBP5,0.01964009
DPEP3,0.01964009
EPHX3,0.01964009
LRRC74B,0.01964009
NOXO1,0.01964009
TMF1,0.01964009
CSNK2A3,0.01964009
CDK8,0.01964009
TMEM82,0.01964009
PLXDC1,0.01964009
TRPC1,0.01964009
AIF1,0.01964009
GATA5,0.01964009
RAE1,0.01964009
SFXN5,0.01964009
MARK4,0.01964009
ADGRF5,0.01964009
C18orf63,0.01964009
C11orf53,0.01964009
CNKSR3,0.01964009
CRAT,0.01964009
DUS3L,0.01964009
COMP,0.01964009
CCT2,0.01964009
FZD2,0.01964009
HOXA7,0.01964009
ZNF891,0.01964009
PAOX,0.01964009
ZBTB48,0.01964009
ZNF582,0.01964009
CATSPER3,0.01964009
GMEB2,0.01964009
FOXF1,0.01964009
TTC7B,0.01964009
KLF2,0.01964009
DUSP15,0.01964009
AL358813.2,0.01964009
BAG3,0.01964009
BNIP2,0.01964009
CD9,0.01964009
ZNF561,0.01964009
NRXN1,0.020138535
RYR1,0.020946279
DSG3,0.020960142
TRRAP,0.021154559
MUC4,0.021690506
ATAD5,0.021962185
CCDC74B,0.021962185
CRNN,0.021962185
CDCP1,0.021962185
LGR5,0.021962185
AMPD3,0.021962185
CTTNBP2,0.021962185
PSG8,0.021962185
MDGA2,0.021962185
CACNG3,0.021962185
ALOX5,0.021962185
ATP13A5,0.022232415
ZNF728,0.022232415
COL5A2,0.02230529
GNAS,0.022721428
SLC17A3,0.022721428
KYNU,0.022721428
ASH1L,0.022721428
ZNF813,0.022721428
TRIOBP,0.022996821
NOS1,0.022996821
USH2A,0.023361924
EPHA7,0.023951589
DBH,0.024066876
SLC7A3,0.024066876
CD163L1,0.024892577
CDH23,0.024892577
GABRG1,0.024923754
ADAMTS16,0.024923754
PRRC2A,0.024923754
C12orf55,0.024923754
ABCA8,0.024923754
AKAP9,0.025010147
GPRC6A,0.025010147
COL28A1,0.025010147
NPEPPS,0.026203447
TIGIT,0.026203447
SLC44A2,0.026203447
PRR14L,0.026203447
EEF2K,0.026203447
AMHR2,0.026203447
ZNF565,0.026203447
MARK2,0.026203447
OR7C1,0.026203447
APC2,0.026203447
UBE3C,0.026203447
TGFBR3,0.026203447
NARS2,0.026203447
ZNF366,0.026203447
TRAK2,0.026203447
STAG2,0.026203447
TMEM232,0.026203447
BMP7,0.026203447
GRID2IP,0.026203447
HAS1,0.026203447
STEAP3,0.026203447
ACOT12,0.026203447
TTC17,0.026203447
OR6V1,0.026203447
FGFR1,0.026203447
KMT2E,0.026203447
C6orf15,0.026203447
CEP85,0.026203447
CPXM1,0.026203447
TRAP1,0.026203447
RAI14,0.026203447
CSDE1,0.026203447
BIRC8,0.026203447
DAPK2,0.026203447
PROM2,0.026203447
TEX13A,0.026203447
GTPBP3,0.026203447
ADAM33,0.026203447
CLCN5,0.026203447
PADI1,0.026203447
SNAP25,0.026203447
FRMPD3,0.026203447
OR1S2,0.026203447
EXD1,0.026203447
HBG2,0.026203447
TFPI,0.026203447
ANK3,0.026630357
PDE4DIP,0.026681032
SYCP2,0.027718784
MYO9A,0.027718784
CADPS2,0.027718784
ANKRD12,0.027718784
SLC5A7,0.027718784
SH3TC1,0.027718784
GRIN2B,0.027763797
NYAP2,0.027763797
KCNH7,0.029523339
KIAA1210,0.029707591
RIMBP2,0.029707591
CNTN1,0.03043796
OVCH1,0.03043796
ITGAL,0.03043796
KDM6A,0.03043796
SLCO4C1,0.03043796
MALRD1,0.03043796
MST1L,0.03043796
CLUH,0.03043796
TTC18,0.03043796
KIAA1109,0.030550303
CLSTN3,0.031957068
UGT3A2,0.032439561
GRM4,0.032439561
ZBED2,0.032439561
NHSL2,0.032439561
RFX3,0.032439561
TUBGCP3,0.032439561
FOCAD,0.032439561
RGS11,0.032439561
SLAMF7,0.032439561
CDR1,0.032439561
PPP2R2C,0.032439561
FAAH2,0.032439561
CDK5RAP2,0.032439561
PER3,0.032439561
PCDH10,0.032439561
FAM171B,0.032439561
PAMR1,0.032439561
TMPRSS11E,0.032439561
ZFHX4,0.032494877
OBSCN,0.033327473
EGFLAM,0.033757568
TNC,0.033757568
ZNF676,0.033757568
LOXHD1,0.033757568
CUBN,0.033757568
PCDH9,0.034343504
AGXT2,0.034343504
OR2M3,0.034343504
NBEAL1,0.034343504
MROH9,0.034343504
COL25A1,0.034343504
BTBD11,0.034343504
ZNF606,0.035141791
KLHL2,0.035141791
SLC22A7,0.035141791
CCT4,0.035141791
UST,0.035141791
RHOA,0.035141791
ZBTB49,0.035141791
CHM,0.035141791
CDK20,0.035141791
SLC26A2,0.035141791
SYNPO,0.035141791
14-Sep,0.035141791
ADGRB3,0.035141791
LILRB3,0.035141791
MYRFL,0.035141791
DENND1A,0.035141791
OR6C76,0.035141791
TMEM63B,0.035141791
DPRX,0.035141791
HIST1H2BJ,0.035141791
NR6A1,0.035141791
NOVA2,0.035141791
GPR124,0.035141791
KCNJ4,0.035141791
CRISP1,0.035141791
USP4,0.035141791
PIAS2,0.035141791
CPN1,0.035141791
SNX25,0.035141791
ZMYM3,0.035141791
GTF2E1,0.035141791
SLC5A12,0.035141791
IFT57,0.035141791
LARP7,0.035141791
PTBP2,0.035141791
HS6ST3,0.035141791
KIAA1524,0.035141791
CCDC112,0.035141791
GML,0.035141791
ADAM23,0.035141791
APLNR,0.035141791
MRPL49,0.035141791
CCDC54,0.035141791
PINK1,0.035141791
PTGIR,0.035141791
OSBP,0.035141791
RFWD2,0.035141791
FCRL2,0.035141791
ARHGAP42,0.035141791
KIF12,0.035141791
CCDC14,0.035141791
SLC38A3,0.035141791
DCAF17,0.035141791
GPR37L1,0.035141791
AP2M1,0.035141791
PRRT4,0.035141791
ZNF773,0.035141791
KRI1,0.035141791
EMID1,0.035141791
RBM5,0.035141791
XDH,0.035879911
DLEC1,0.035879911
DNAH12,0.035879911
ZNF560,0.035879911
ABCA6,0.035879911
HERC1,0.035879911
RYR2,0.036092392
ZBBX,0.036584072
FRMPD2,0.036584072
FAM186A,0.036584072
SMG1,0.036584072
TRPC5,0.036584072
PLCXD3,0.036584072
RTN1,0.036584072
APOBR,0.036584072
ADAM22,0.036584072
GPR116,0.036584072
GRM3,0.038478912
MYH8,0.038478912
PTPRB,0.038478912
CACNA1B,0.039322727
LRP1B,0.039551173
KMT2C,0.039654752
ABCA7,0.040334946
SLC7A13,0.040334946
GLI3,0.040334946
MED13,0.040334946
MDC1,0.040334946
KNDC1,0.040334946
PLXDC2,0.040334946
TEX14,0.040334946
UBXN11,0.041121427
DIP2C,0.041121427
SPATA7,0.041121427
OR5M10,0.041121427
MED14,0.041121427
SLC13A3,0.041121427
LYST,0.041348991
COL1A1,0.041348991
ZMIZ2,0.04171519
BPIFB6,0.04171519
GLP1R,0.04171519
OTOG,0.042325758
ARHGAP30,0.042325758
GRIA4,0.042325758
AOC1,0.042325758
PAPPA,0.043051275
CNTN4,0.043051275
HERC2,0.043051275
WDR33,0.043451089
PCDHA9,0.043451089
IGF1R,0.043451089
KRT75,0.043451089
GAK,0.043451089
LAMC1,0.043451089
OR52A1,0.043451089
OR11H1,0.043451089
OR2G2,0.043451089
COLEC12,0.043451089
ZNF611,0.043451089
NXPE4,0.043451089
STARD9,0.043451089
UGGT1,0.043451089
ZNF682,0.043451089
VAT1L,0.043451089
OR2G3,0.043451089
C1orf65,0.043451089
ZNF496,0.043451089
CR1,0.043951711
ADCY10,0.043951711
VWA3B,0.043951711
TMC5,0.043951711
COL9A1,0.043951711
TPO,0.043951711
EPHA3,0.043951711
MUC16,0.045324159
ZNF804A,0.045434436
CYP7A1,0.046730707
CFAP65,0.046730707
SLC37A2,0.046730707
ZBTB8B,0.046730707
KLHL26,0.046730707
GALK2,0.046730707
MEN1,0.046730707
MAN1C1,0.046730707
PTGER2,0.046730707
TEX13C,0.046730707
C2orf44,0.046730707
PGBD5,0.046730707
SLC16A6,0.046730707
EAF2,0.046730707
ASS1,0.046730707
MAP2K2,0.046730707
CEACAM16,0.046730707
ALX4,0.046730707
OSTM1,0.046730707
VSIG8,0.046730707
TMEM184A,0.046730707
SLC9B1,0.046730707
TMEM161A,0.046730707
CETP,0.046730707
PIP5K1A,0.046730707
PVRIG,0.046730707
SKOR2,0.046730707
ZNF416,0.046730707
P2RY8,0.046730707
MAP2K6,0.046730707
DIRC2,0.046730707
DYX1C1,0.046730707
FETUB,0.046730707
KCNV2,0.046730707
DAGLB,0.046730707
FIGNL1,0.046730707
RASSF8,0.046730707
CHN1,0.046730707
SLC35G2,0.046730707
RBM14,0.046730707
TPD52,0.046730707
PLEKHD1,0.046730707
NDUFA9,0.046730707
ZKSCAN5,0.046730707
NT5E,0.046730707
ZNF512,0.046730707
TIGD7,0.046730707
TLDC2,0.046730707
ECI2,0.046730707
COPS7A,0.046730707
8-Mar,0.046730707
RAB44,0.046730707
ZDHHC6,0.046730707
PLEKHM1,0.046730707
TRIM21,0.046730707
GOLT1A,0.046730707
AP4E1,0.046730707
GDPGP1,0.046730707
RUFY1,0.046730707
EDARADD,0.046730707
DPY19L3,0.046730707
SPOCK1,0.046730707
CTNS,0.046730707
ZC2HC1B,0.046730707
GPR31,0.046730707
RERG,0.046730707
SHROOM1,0.046730707
ERVV-1,0.046730707
PTGES3L-AARSD1,0.046730707
ZMYND12,0.046730707
RHOXF1,0.046730707
FAM222B,0.046730707
TXNRD1,0.046730707
CHRM5,0.046730707
PRDX6,0.046730707
IL22,0.046730707
GAS2L3,0.046730707
MAPKAPK5,0.046730707
CMTR2,0.046730707
ZNF805,0.046730707
APBB1,0.046730707
DHRS2,0.046730707
NDST1,0.046730707
GEM,0.046730707
PHYKPL,0.046730707
SMARCB1,0.046730707
CCDC120,0.046730707
F2RL2,0.046730707
FGF23,0.046730707
EIF2S1,0.046730707
SLC2A4,0.046730707
FGR,0.046730707
LRTOMT,0.046730707
OR6B2,0.046730707
GUCA1A,0.046730707
ZNF24,0.046730707
ZNF326,0.046730707
ACTRT2,0.046730707
SLC38A11,0.046730707
ACOT7,0.046730707
PCDHB17,0.046730707
RAB3D,0.046730707
CCNO,0.046730707
FAM186B,0.046730707
KBTBD7,0.046730707
CLDN17,0.046730707
SOHLH2,0.046730707
BTBD18,0.046730707
SPATA22,0.046730707
C5orf45,0.046730707
C7orf34,0.046730707
FTCD,0.046730707
CCDC62,0.046730707
ZBTB14,0.046730707
ZBTB46,0.046730707
PIPOX,0.046730707
MPP5,0.046730707
SUMO3,0.046730707
FAM118B,0.046730707
RAD21L1,0.046730707
CCM2L,0.046730707
SHANK2,0.047580593
LRBA,0.047580593
DNAH14,0.047580593
CDH8,0.047580593
KCNH5,0.047580593
AKR1B15,0.048992282
OR7D4,0.048992282
FBLN1,0.048992282
KIAA0226L,0.048992282
FSCN3,0.048992282
PLAGL1,0.048992282
TAS2R39,0.048992282
ARSJ,0.048992282
GRB10,0.048992282
DRD2,0.048992282
MAMDC4,0.048992282
C15orf39,0.048992282
STRC,0.048992282
ZNFX1,0.048992282
ANKRD31,0.048992282
IRAK2,0.048992282
SLITRK5,0.048992282
MROH2A,0.048992282
SFMBT2,0.048992282
TAS2R60,0.048992282
NPIPA5,0.048992282
ZNF571,0.048992282
LCA5L,0.048992282
SH2D3A,0.048992282
PSPC1,0.048992282
SWT1,0.048992282
ZNF470,0.048992282
SEMA4G,0.048992282
ISX,0.048992282
JMJD1C,0.048992282
ZNF8,0.048992282
GBP6,0.048992282
KIAA1468,0.048992282
MARK1,0.048992282
MISP,0.048992282
ABCA13,0.049207121
ADAMTS20,0.049616274
CMYA5,0.049616274
CNTN5,0.049616274
